Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Vehicle Class,Fuel Type
2.0,4,8.4,34,193,COMPACT,Z
2.0,4,8.7,32,200,COMPACT,Z
2.0,4,6.7,42,181,COMPACT,D
2.0,4,6.7,42,181,STATION WAGON - SMALL,D
2.0,4,9.1,31,209,COMPACT,Z
2.0,4,9.1,31,209,FULL-SIZE,Z
2.0,4,9.1,31,209,STATION WAGON - SMALL,Z
3.0,6,9.6,29,221,COMPACT,Z
3.0,6,10.0,28,230,COMPACT,Z
3.0,6,9.9,29,228,COMPACT,Z
3.0,6,10.3,27,237,COMPACT,Z
3.0,6,10.1,28,232,FULL-SIZE,Z
2.0,4,8.8,32,202,MID-SIZE,Z
2.0,4,9.1,31,209,MID-SIZE,Z
3.0,6,7.9,36,213,MID-SIZE,D
3.0,6,10.1,28,232,MID-SIZE,Z
3.0,6,10.7,26,246,FULL-SIZE,Z
4.4,8,12.2,23,281,MID-SIZE,Z
4.4,8,12.7,22,292,FULL-SIZE,Z
3.0,6,10.1,28,232,COMPACT,Z
4.4,8,12.7,22,292,SUBCOMPACT,Z
4.4,8,12.2,23,281,COMPACT,Z
4.4,8,12.7,22,292,COMPACT,Z
6.0,12,15.5,18,356,FULL-SIZE,Z
3.0,6,8.3,34,191,COMPACT,Z
3.0,6,9.3,30,214,MID-SIZE,Z
3.0,6,9.2,31,212,FULL-SIZE,Z
4.4,8,14.7,19,338,MID-SIZE,Z
4.4,8,13.8,20,317,MID-SIZE,Z
4.4,8,14.7,19,338,COMPACT,Z
4.4,8,13.8,20,317,COMPACT,Z
4.4,8,14.7,19,338,SUBCOMPACT,Z
4.4,8,13.8,20,317,SUBCOMPACT,Z
2.0,4,9.1,31,209,SUV - SMALL,Z
3.0,6,11.3,25,260,SUV - SMALL,Z
2.0,4,10.0,28,230,SUV - SMALL,Z
3.0,6,11.0,26,253,SUV - SMALL,Z
3.0,6,11.1,25,255,SUV - STANDARD,Z
4.4,8,13.9,20,320,SUV - STANDARD,Z
4.4,8,16.1,18,370,SUV - STANDARD,Z
3.0,6,11.9,24,274,SUV - STANDARD,Z
4.4,8,14.1,20,324,SUV - STANDARD,Z
2.0,4,8.7,32,200,TWO-SEATER,Z
3.0,6,12.1,23,278,TWO-SEATER,Z
3.0,6,11.0,26,253,TWO-SEATER,Z
3.6,6,12.3,23,283,SUV - STANDARD,X
3.6,6,12.6,22,290,SUV - STANDARD,X
1.4,4,8.5,33,196,SUV - SMALL,X
1.4,4,9.2,31,212,SUV - SMALL,X
3.6,6,11.5,25,264,MID-SIZE,X
3.6,6,15.6,18,250,MID-SIZE,E
3.6,6,16.5,17,264,MID-SIZE,E
2.4,4,8.2,34,189,MID-SIZE,X
2.0,4,9.9,29,228,MID-SIZE,Z
2.0,4,9.8,29,225,MID-SIZE,Z
2.0,4,10.7,26,246,MID-SIZE,Z
2.0,4,9.9,29,228,COMPACT,Z
2.0,4,9.8,29,225,COMPACT,Z
2.4,4,9.5,30,218,COMPACT,X
2.0,4,9.6,29,221,COMPACT,Z
2.0,4,10.2,28,235,COMPACT,Z
2.5,4,9.0,31,207,COMPACT,X
3.6,6,10.9,26,251,COMPACT,X
2.0,4,10.1,28,232,COMPACT,Z
3.6,6,11.3,25,260,COMPACT,X
3.6,6,11.2,25,258,MID-SIZE,X
3.6,6,11.4,25,262,MID-SIZE,X
2.0,4,10.1,28,232,MID-SIZE,Z
3.6,6,10.8,26,248,MID-SIZE,X
2.0,4,10.8,26,248,MID-SIZE,Z
3.6,6,11.3,25,260,MID-SIZE,X
3.6,6,12.8,22,294,MID-SIZE,Z
3.0,6,11.0,26,253,STATION WAGON - SMALL,X
3.6,6,11.3,25,260,STATION WAGON - SMALL,X
3.0,6,11.1,25,255,STATION WAGON - SMALL,X
3.6,6,11.4,25,262,STATION WAGON - SMALL,X
6.2,8,16.6,17,382,MID-SIZE,Z
6.2,8,14.8,19,340,MID-SIZE,Z
6.2,8,16.6,17,382,STATION WAGON - SMALL,Z
6.2,8,14.8,19,340,STATION WAGON - SMALL,Z
6.2,8,14.7,19,338,SUV - STANDARD,Z
6.2,8,20.1,14,322,SUV - STANDARD,E
6.2,8,16.4,17,377,SUV - STANDARD,Z
6.2,8,22.1,13,354,SUV - STANDARD,E
3.6,6,12.8,22,294,SUV - STANDARD,X
3.6,6,11.4,25,262,FULL-SIZE,X
3.6,6,11.8,24,271,FULL-SIZE,X
3.6,6,12.6,22,290,FULL-SIZE,Z
3.6,6,11.2,25,258,COMPACT,X
3.6,6,11.7,24,269,COMPACT,X
3.6,6,10.5,27,242,COMPACT,X
6.2,8,12.8,22,294,COMPACT,Z
6.2,8,12.7,22,292,COMPACT,Z
6.2,8,16.6,17,382,COMPACT,Z
6.2,8,14.8,19,340,COMPACT,Z
6.2,8,12.0,24,276,TWO-SEATER,Z
6.2,8,11.2,25,258,TWO-SEATER,Z
1.4,4,7.8,36,179,MID-SIZE,X
1.8,4,8.8,32,202,MID-SIZE,X
1.8,4,8.2,34,189,MID-SIZE,X
2.0,4,7.1,40,192,MID-SIZE,D
1.4,4,7.7,37,177,MID-SIZE,X
1.4,4,7.1,40,163,MID-SIZE,X
2.4,4,9.1,31,209,SUV - SMALL,X
3.6,6,12.0,24,276,SUV - SMALL,X
3.6,6,16.2,17,259,SUV - SMALL,E
2.4,4,10.0,28,230,SUV - SMALL,X
3.6,6,12.6,22,290,SUV - SMALL,X
3.6,6,17.0,17,272,SUV - SMALL,E
4.3,6,15.1,19,347,VAN - CARGO,X
5.3,8,15.9,18,366,VAN - CARGO,X
5.3,8,20.9,14,334,VAN - CARGO,E
5.3,8,16.5,17,380,VAN - CARGO,X
5.3,8,21.5,13,344,VAN - CARGO,E
5.3,8,22.6,12,362,VAN - CARGO,E
5.3,8,16.5,17,380,VAN - PASSENGER,X
5.3,8,21.5,13,344,VAN - PASSENGER,E
5.3,8,22.6,12,362,VAN - PASSENGER,E
4.8,8,18.0,16,414,VAN - PASSENGER,X
6.0,8,18.8,15,432,VAN - PASSENGER,X
6.0,8,25.7,11,411,VAN - PASSENGER,E
4.8,8,18.2,16,419,VAN - PASSENGER,X
6.0,8,18.9,15,435,VAN - PASSENGER,X
6.0,8,25.8,11,413,VAN - PASSENGER,E
2.5,4,9.6,29,221,FULL-SIZE,X
3.6,6,10.6,27,244,FULL-SIZE,X
3.6,6,14.3,20,229,FULL-SIZE,E
2.4,4,8.7,32,200,FULL-SIZE,X
2.5,4,8.0,35,184,MID-SIZE,X
2.4,4,10.6,27,244,SUV - SMALL,X
2.4,4,10.2,28,235,SUV - SMALL,X
4.3,6,11.8,24,271,PICKUP TRUCK - STANDARD,X
4.3,6,16.8,17,269,PICKUP TRUCK - STANDARD,E
5.3,8,12.7,22,292,PICKUP TRUCK - STANDARD,X
5.3,8,16.9,17,270,PICKUP TRUCK - STANDARD,E
6.2,8,14.1,20,324,PICKUP TRUCK - STANDARD,Z
4.3,6,12.6,22,290,PICKUP TRUCK - STANDARD,X
4.3,6,17.8,16,285,PICKUP TRUCK - STANDARD,E
5.3,8,13.0,22,299,PICKUP TRUCK - STANDARD,X
5.3,8,17.3,16,277,PICKUP TRUCK - STANDARD,E
6.2,8,14.3,20,329,PICKUP TRUCK - STANDARD,Z
1.4,4,8.0,35,184,COMPACT,X
1.4,4,7.5,38,173,COMPACT,X
1.8,4,8.3,34,191,COMPACT,X
1.8,4,7.9,36,182,COMPACT,X
1.4,4,8.3,34,191,COMPACT,X
1.4,4,8.0,35,184,MID-SIZE,X
1.4,4,7.5,38,172,MID-SIZE,X
1.8,4,8.3,34,191,MID-SIZE,X
1.8,4,7.9,36,182,MID-SIZE,X
1.4,4,8.3,34,191,MID-SIZE,X
1.2,4,6.9,41,159,SUBCOMPACT,X
5.3,8,13.8,20,317,SUV - STANDARD,X
5.3,8,18.4,15,294,SUV - STANDARD,E
1.4,4,8.4,34,193,SUV - SMALL,X
1.4,4,8.1,35,186,SUV - SMALL,X
1.4,4,9.0,31,207,SUV - SMALL,X
3.6,6,10.3,27,237,FULL-SIZE,X
2.4,4,10.1,28,232,COMPACT,X
2.4,4,10.7,26,246,COMPACT,X
3.6,6,14.4,20,230,COMPACT,E
2.4,4,9.8,29,225,MID-SIZE,X
2.4,4,10.0,28,230,MID-SIZE,X
3.6,6,10.5,27,242,MID-SIZE,X
3.6,6,14.4,20,230,MID-SIZE,E
5.7,8,12.8,22,294,FULL-SIZE,X
3.6,6,10.9,26,251,FULL-SIZE,X
5.7,8,13.4,21,308,FULL-SIZE,X
3.6,6,14.8,19,237,FULL-SIZE,E
3.6,6,13.9,20,222,FULL-SIZE,E
6.4,8,13.8,20,317,FULL-SIZE,Z
3.6,6,12.0,24,276,MINIVAN,X
3.6,6,16.8,17,269,MINIVAN,E
5.7,8,13.1,22,301,MID-SIZE,X
5.7,8,12.8,22,294,MID-SIZE,X
6.4,8,13.9,20,320,MID-SIZE,Z
6.4,8,13.8,20,317,MID-SIZE,Z
3.6,6,11.2,25,258,FULL-SIZE,X
3.6,6,15.7,18,251,FULL-SIZE,E
3.6,6,10.2,28,235,FULL-SIZE,X
2.0,4,8.1,35,186,MID-SIZE,X
2.4,4,8.6,33,198,MID-SIZE,X
2.4,4,8.8,32,202,MID-SIZE,X
2.0,4,8.6,33,198,MID-SIZE,X
2.0,4,12.2,23,195,MID-SIZE,E
2.4,4,9.2,31,212,MID-SIZE,X
1.4,4,7.3,39,168,MID-SIZE,X
5.7,8,14.4,20,331,SUV - STANDARD,X
3.6,6,12.1,23,278,SUV - STANDARD,X
3.6,6,15.6,18,250,SUV - STANDARD,E
3.6,6,11.8,24,271,MINIVAN,X
3.6,6,16.5,17,264,MINIVAN,E
2.4,4,11.1,25,255,SUV - SMALL,X
3.6,6,12.4,23,285,SUV - SMALL,X
1.4,4,7.8,36,179,MINICOMPACT,X
1.4,4,7.9,36,182,MINICOMPACT,X
1.4,4,7.2,39,166,MINICOMPACT,X
1.4,4,6.8,42,156,MINICOMPACT,X
1.4,4,8.7,32,200,STATION WAGON - SMALL,X
1.4,4,8.4,34,193,STATION WAGON - SMALL,X
2.0,4,6.0,47,138,FULL-SIZE,X
4.6,8,16.2,17,373,VAN - CARGO,X
4.6,8,21.9,13,350,VAN - CARGO,E
5.4,8,17.2,16,396,VAN - CARGO,X
5.4,8,22.5,13,360,VAN - CARGO,E
4.6,8,16.8,17,386,VAN - PASSENGER,X
4.6,8,23.0,12,368,VAN - PASSENGER,E
6.8,10,21.2,13,488,VAN - PASSENGER,X
5.4,8,18.3,15,421,VAN - PASSENGER,X
5.4,8,23.9,12,382,VAN - PASSENGER,E
2.0,4,9.8,29,225,SUV - SMALL,X
3.5,6,10.8,26,248,SUV - SMALL,X
3.5,6,11.5,25,264,SUV - SMALL,X
3.7,6,12.2,23,281,SUV - SMALL,X
1.6,4,9.1,31,209,SUV - SMALL,X
2.0,4,9.6,29,221,SUV - SMALL,X
2.5,4,9.4,30,216,SUV - SMALL,X
1.6,4,9.3,30,214,SUV - SMALL,X
2.0,4,10.0,28,230,SUV - SMALL,X
5.4,8,16.0,18,368,SUV - STANDARD,X
5.4,8,21.6,13,346,SUV - STANDARD,E
2.0,4,10.2,28,235,SUV - STANDARD,X
3.5,6,13.0,22,299,SUV - STANDARD,X
3.5,6,11.9,24,274,SUV - STANDARD,X
3.5,6,15.9,18,254,SUV - STANDARD,E
3.5,6,12.5,23,288,SUV - STANDARD,X
3.5,6,16.7,17,267,SUV - STANDARD,E
3.5,6,12.7,22,292,PICKUP TRUCK - STANDARD,X
3.5,6,12.8,22,294,PICKUP TRUCK - STANDARD,X
6.2,8,15.9,18,366,PICKUP TRUCK - STANDARD,X
3.5,6,13.8,20,317,PICKUP TRUCK - STANDARD,X
3.5,6,13.4,21,308,PICKUP TRUCK - STANDARD,X
6.2,8,17.5,16,402,PICKUP TRUCK - STANDARD,X
3.7,6,12.3,23,283,PICKUP TRUCK - STANDARD,X
3.7,6,16.5,17,264,PICKUP TRUCK - STANDARD,E
5.0,8,14.6,19,336,PICKUP TRUCK - STANDARD,X
5.0,8,19.7,14,315,PICKUP TRUCK - STANDARD,E
3.7,6,13.4,21,308,PICKUP TRUCK - STANDARD,X
3.7,6,18.0,16,288,PICKUP TRUCK - STANDARD,E
5.0,8,14.9,19,343,PICKUP TRUCK - STANDARD,X
5.0,8,20.0,14,320,PICKUP TRUCK - STANDARD,E
5.0,8,14.8,19,340,PICKUP TRUCK - STANDARD,X
5.0,8,19.9,14,318,PICKUP TRUCK - STANDARD,E
6.2,8,18.0,16,414,PICKUP TRUCK - STANDARD,X
1.6,4,7.6,37,175,SUBCOMPACT,X
1.0,4,6.6,43,152,SUBCOMPACT,X
1.6,4,7.0,40,161,SUBCOMPACT,X
1.6,4,8.0,35,184,COMPACT,X
3.5,6,11.5,25,264,SUV - STANDARD,X
3.5,6,12.1,23,278,SUV - STANDARD,X
3.5,6,12.8,22,294,SUV - STANDARD,X
2.0,4,8.9,32,205,COMPACT,X
2.0,4,7.7,37,177,COMPACT,X
2.0,4,10.3,27,165,COMPACT,E
2.0,4,7.8,36,179,COMPACT,X
2.0,4,8.0,35,184,COMPACT,X
2.0,4,10.6,27,170,COMPACT,E
2.0,4,7.2,39,166,COMPACT,X
2.0,4,10.1,28,162,COMPACT,E
1.5,4,8.5,33,196,MID-SIZE,X
1.6,4,8.1,35,186,MID-SIZE,X
2.0,4,9.0,31,207,MID-SIZE,X
2.5,4,8.9,32,205,MID-SIZE,X
1.5,4,8.1,35,186,MID-SIZE,X
2.0,4,9.4,30,216,MID-SIZE,X
2.0,4,5.5,51,126,MID-SIZE,X
3.7,6,10.2,28,235,SUBCOMPACT,X
3.7,6,10.6,27,244,SUBCOMPACT,X
5.0,8,11.5,25,264,SUBCOMPACT,X
5.0,8,12.7,22,292,SUBCOMPACT,X
5.8,8,13.2,21,304,SUBCOMPACT,Z
2.0,4,9.1,31,209,FULL-SIZE,X
3.5,6,11.8,24,271,FULL-SIZE,X
3.5,6,10.3,27,237,FULL-SIZE,X
3.5,6,14.3,20,229,FULL-SIZE,E
3.5,6,11.2,25,258,FULL-SIZE,X
3.5,6,15.7,18,251,FULL-SIZE,E
1.6,4,9.5,30,218,SPECIAL PURPOSE VEHICLE,X
2.5,4,9.9,29,228,SPECIAL PURPOSE VEHICLE,X
1.6,4,10.1,28,232,SPECIAL PURPOSE VEHICLE,X
2.5,4,10.4,27,239,SPECIAL PURPOSE VEHICLE,X
3.6,6,12.9,22,297,SUV - STANDARD,X
2.4,4,7.9,36,182,MID-SIZE,X
2.4,4,8.1,35,186,MID-SIZE,X
2.4,4,8.7,32,200,MID-SIZE,X
3.5,6,9.1,31,209,MID-SIZE,X
3.5,6,9.6,29,221,MID-SIZE,X
3.5,6,10.9,26,251,MID-SIZE,X
2.0,4,4.8,59,110,MID-SIZE,X
1.8,4,7.0,40,161,COMPACT,X
1.8,4,7.2,39,166,COMPACT,X
1.8,4,7.6,37,175,COMPACT,X
3.5,6,10.7,26,246,SUV - SMALL,X
2.4,4,9.4,30,216,SUV - SMALL,X
1.5,4,6.3,45,145,TWO-SEATER,X
1.5,4,6.9,41,159,TWO-SEATER,X
1.5,4,7.5,38,172,STATION WAGON - SMALL,X
1.5,4,7.7,37,177,STATION WAGON - SMALL,X
3.5,6,10.6,27,244,MINIVAN,X
3.5,6,11.5,25,265,SUV - SMALL,X
3.5,6,12.0,24,276,SUV - SMALL,X
1.6,4,7.7,37,177,COMPACT,X
2.0,4,8.5,33,196,MID-SIZE,X
5.0,8,13.2,21,304,FULL-SIZE,Z
3.8,6,11.1,25,255,FULL-SIZE,X
3.3,6,11.2,25,258,SUV - SMALL,X
3.3,6,11.6,24,267,SUV - SMALL,X
2.4,4,10.3,27,237,SUV - SMALL,X
2.0,4,11.5,25,264,SUV - SMALL,X
2.0,4,9.6,29,221,FULL-SIZE,X
2.4,4,8.5,33,196,FULL-SIZE,X
2.4,4,6.2,46,143,MID-SIZE,X
2.4,4,6.3,45,145,MID-SIZE,X
2.0,4,9.3,30,214,SUV - SMALL,X
2.0,4,10.1,28,232,SUV - SMALL,X
2.0,4,10.5,27,242,SUV - SMALL,X
1.6,4,8.8,32,202,COMPACT,X
1.6,4,8.5,33,196,COMPACT,X
3.7,6,10.2,28,235,MID-SIZE,Z
3.7,6,10.8,26,248,MID-SIZE,Z
3.5,6,7.5,38,172,COMPACT,Z
3.5,6,8.2,34,189,COMPACT,Z
3.7,6,11.5,25,265,SUBCOMPACT,Z
3.7,6,11.7,24,269,SUBCOMPACT,Z
3.7,6,12.3,23,283,SUBCOMPACT,Z
3.7,6,11.1,25,255,SUBCOMPACT,Z
3.7,6,11.6,24,267,SUBCOMPACT,Z
3.7,6,11.0,26,253,MID-SIZE,Z
5.6,8,12.3,23,283,MID-SIZE,Z
5.6,8,12.8,22,294,MID-SIZE,Z
3.5,6,7.6,37,175,MID-SIZE,Z
3.7,6,11.8,24,271,STATION WAGON - SMALL,Z
3.5,6,11.0,26,253,SUV - SMALL,Z
2.5,4,8.5,33,196,SUV - STANDARD,X
3.7,6,12.8,22,294,SUV - SMALL,Z
5.0,8,14.5,19,334,SUV - SMALL,Z
5.6,8,15.0,19,345,SUV - STANDARD,Z
3.0,6,10.3,27,237,TWO-SEATER,Z
3.0,6,10.6,27,244,TWO-SEATER,Z
5.0,8,12.8,22,294,TWO-SEATER,Z
2.0,4,10.5,27,242,MID-SIZE,Z
3.0,6,12.2,23,281,MID-SIZE,Z
5.0,8,13.3,21,306,MID-SIZE,Z
5.0,8,18.1,16,290,MID-SIZE,E
3.0,6,12.4,23,285,FULL-SIZE,Z
5.0,8,13.3,21,306,FULL-SIZE,Z
5.0,8,17.5,16,280,FULL-SIZE,E
5.0,8,13.1,22,301,MINICOMPACT,Z
5.0,8,12.6,22,290,MINICOMPACT,Z
5.0,8,13.7,21,315,MINICOMPACT,Z
5.0,8,13.5,21,310,MINICOMPACT,Z
2.4,4,9.5,30,218,SUV - SMALL,X
3.2,6,10.5,27,242,SUV - SMALL,X
3.2,6,10.8,26,248,SUV - SMALL,X
2.4,4,10.1,28,232,SUV - SMALL,X
3.2,6,11.0,26,253,SUV - SMALL,X
2.4,4,10.9,26,251,SUV - SMALL,X
3.2,6,11.6,24,267,SUV - SMALL,X
2.0,4,9.9,29,228,SUV - SMALL,X
2.0,4,9.1,31,209,SUV - SMALL,X
2.4,4,9.8,29,225,SUV - SMALL,X
5.7,8,14.8,19,340,SUV - STANDARD,X
3.0,6,9.9,29,267,SUV - STANDARD,D
6.4,8,15.8,18,363,SUV - STANDARD,Z
3.6,6,12.8,22,294,SUV - SMALL,X
3.6,6,13.4,21,308,SUV - SMALL,X
3.3,6,10.9,26,251,FULL-SIZE,X
1.8,4,8.0,35,184,MID-SIZE,X
2.0,4,8.4,34,193,MID-SIZE,X
1.6,4,9.7,29,223,FULL-SIZE,X
1.6,4,9.8,29,225,FULL-SIZE,X
2.0,4,8.4,34,193,FULL-SIZE,X
2.0,4,8.5,33,196,FULL-SIZE,X
1.6,4,9.4,30,216,COMPACT,X
1.6,4,9.6,29,221,COMPACT,X
2.0,4,8.4,34,193,COMPACT,X
2.0,4,8.6,33,198,COMPACT,X
2.0,4,9.9,29,228,MID-SIZE,X
2.4,4,6.4,44,147,MID-SIZE,X
1.6,4,7.6,37,175,COMPACT,X
2.0,4,9.2,31,212,STATION WAGON - MID-SIZE,X
2.0,4,9.3,30,214,STATION WAGON - MID-SIZE,X
3.5,6,12.0,24,276,MINIVAN,X
3.3,6,11.4,25,262,SUV - SMALL,X
2.4,4,11.0,26,253,SUV - SMALL,X
3.3,6,11.8,24,271,SUV - SMALL,X
1.6,4,8.9,32,205,STATION WAGON - SMALL,X
1.6,4,9.0,31,207,STATION WAGON - SMALL,X
2.0,4,9.1,31,209,STATION WAGON - SMALL,X
2.0,4,8.8,32,202,STATION WAGON - SMALL,X
2.4,4,11.3,25,260,SUV - SMALL,X
2.0,4,11.4,25,262,SUV - SMALL,X
2.4,4,10.7,26,246,SUV - SMALL,X
6.5,12,18.3,15,421,TWO-SEATER,Z
5.2,10,15.7,18,361,TWO-SEATER,Z
5.2,10,17.4,16,400,TWO-SEATER,Z
2.0,4,11.9,24,274,SUV - SMALL,Z
3.0,6,14.5,19,334,SUV - STANDARD,Z
2.0,4,9.8,29,225,SUV - SMALL,Z
5.0,8,15.4,18,354,SUV - STANDARD,Z
5.0,8,15.1,19,347,SUV - STANDARD,Z
5.0,8,21.4,13,342,SUV - STANDARD,E
3.0,6,12.4,23,285,SUV - STANDARD,Z
3.0,6,17.4,16,278,SUV - STANDARD,E
5.0,8,15.0,19,345,SUV - STANDARD,Z
5.0,8,14.7,19,338,SUV - STANDARD,Z
5.0,8,20.7,14,331,SUV - STANDARD,E
3.0,6,12.3,23,283,SUV - STANDARD,Z
3.0,6,17.3,16,277,SUV - STANDARD,E
1.8,4,5.6,50,129,COMPACT,X
2.5,4,6.0,47,138,MID-SIZE,X
3.5,6,10.4,27,239,MID-SIZE,Z
3.5,6,11.0,26,253,MID-SIZE,Z
4.6,8,13.9,20,320,SUV - STANDARD,Z
2.5,6,9.7,29,223,COMPACT,Z
2.5,6,10.4,27,239,COMPACT,Z
2.5,6,9.7,29,223,SUBCOMPACT,Z
3.5,6,10.6,27,244,COMPACT,Z
3.5,6,11.0,26,253,COMPACT,Z
3.5,6,10.6,27,244,SUBCOMPACT,Z
5.0,8,12.6,22,290,SUBCOMPACT,Z
4.6,8,12.3,23,283,MID-SIZE,Z
4.6,8,12.9,22,297,MID-SIZE,Z
5.0,8,11.4,25,262,MID-SIZE,Z
5.7,8,16.5,17,380,SUV - STANDARD,Z
3.5,6,11.7,24,269,SUV - SMALL,X
3.5,6,11.1,25,255,SUV - SMALL,X
3.5,6,8.2,34,189,SUV - SMALL,Z
3.7,6,11.3,25,260,FULL-SIZE,X
2.0,4,10.2,28,235,SPECIAL PURPOSE VEHICLE,X
3.7,6,12.2,23,281,SPECIAL PURPOSE VEHICLE,X
3.7,6,11.4,25,262,MID-SIZE,X
2.0,4,6.3,45,145,MID-SIZE,X
3.0,6,12.7,22,292,MID-SIZE,Z
4.7,8,15.1,19,347,SUBCOMPACT,Z
4.7,8,15.3,18,352,SUBCOMPACT,Z
3.8,8,14.5,19,334,FULL-SIZE,Z
3.0,6,13.1,22,301,FULL-SIZE,Z
2.0,4,8.2,34,189,SUV - SMALL,X
2.0,4,8.0,35,184,SUV - SMALL,X
2.5,4,8.6,33,198,SUV - SMALL,X
2.0,4,8.5,33,196,SUV - SMALL,X
2.5,4,8.9,32,205,SUV - SMALL,X
3.7,6,12.3,23,283,SUV - SMALL,X
3.7,6,12.6,22,290,SUV - SMALL,X
1.5,4,7.7,37,177,COMPACT,X
1.5,4,7.4,38,170,COMPACT,X
2.0,4,6.9,41,159,COMPACT,X
2.0,4,7.0,40,161,COMPACT,X
2.5,4,7.4,38,170,COMPACT,X
2.5,4,7.3,39,168,COMPACT,X
2.0,4,7.1,40,163,MID-SIZE,X
2.0,4,7.2,39,166,MID-SIZE,X
2.5,4,7.7,37,177,MID-SIZE,X
2.5,4,7.3,39,168,MID-SIZE,X
2.5,4,9.7,29,223,MINIVAN,X
2.5,4,9.8,29,225,MINIVAN,X
2.5,4,7.6,37,175,MID-SIZE,X
2.5,4,8.1,35,186,MID-SIZE,X
2.0,4,10.2,28,235,TWO-SEATER,Z
2.0,4,9.6,29,221,TWO-SEATER,Z
2.0,4,9.9,29,228,TWO-SEATER,Z
2.0,4,8.0,35,184,STATION WAGON - SMALL,Z
1.8,4,9.4,30,216,COMPACT,Z
1.8,4,9.4,30,216,SUBCOMPACT,Z
3.5,6,10.5,27,242,COMPACT,Z
3.5,6,14.0,20,224,COMPACT,E
3.5,6,10.5,27,242,SUBCOMPACT,Z
6.2,8,15.1,19,347,COMPACT,Z
6.2,8,15.3,18,352,SUBCOMPACT,Z
4.7,8,13.2,21,304,COMPACT,Z
5.5,8,13.4,21,308,COMPACT,Z
2.0,4,7.8,36,179,COMPACT,Z
2.0,4,9.2,31,212,COMPACT,Z
4.7,8,11.5,25,264,COMPACT,Z
5.5,8,13.1,22,301,COMPACT,Z
2.1,4,7.2,39,194,MID-SIZE,D
